idcountry,year,month,id_ubicacion,distance,types,code,mag,felt,cdi,mmi,tsunami,sig,net,nst,dmin,rms,gap,magtype
1,1970,12,3,110 km SE of Adak,",impact-text,origin,trump-origin,",788799,5.96,,,,0,546,iscgem,,,,,mw
1,1971,1,3,74 km SW of Atka,",impact-text,origin,trump-origin,",788596,5.69,,,,0,498,iscgem,,,,,mw
1,1971,1,3,94 km WSW of Adak,",impact-text,origin,trump-origin,",788547,6.44,,,,0,638,iscgem,,,,,mw
1,1971,1,3,66 km E of Atka,",impact-text,origin,trump-origin,",787968,5.79,,,,0,516,iscgem,,,,,mw
1,1971,2,3,89 km SSW of Adak,",impact-text,origin,",787288,5.71,,,,0,502,iscgem,,,,,mw
1,1971,2,3,103 km SSW of Adak,",origin,",786964,5.53,,,,0,470,iscgem,,,,,mw
1,1971,2,3,82 km SSW of Adak,",origin,",786957,5.6,,,,0,482,iscgem,,,,,mw
1,1971,2,3,86 km SSW of Adak,",impact-text,origin,trump-origin,",786955,5.86,,,,0,528,iscgem,,,,,mw
1,1971,2,3,56 km SSW of Adak,",impact-text,origin,shakemap,trump-origin,",786954,6.95,,,6.498,0,743,iscgem,,,,,mw
1,1971,2,3,106 km SE of Atka,",impact-text,origin,trump-origin,",786793,6.1,,,,0,572,iscgem,,,,,mw
1,1971,3,3,94 km SW of Adak,",impact-text,origin,trump-origin,",786754,5.64,,,,0,489,iscgem,,,,,mw
1,1971,3,3,37 km NNW of Atka,",impact-text,origin,trump-origin,",786686,5.86,,,,0,528,iscgemsup,,,,,mw
1,1971,3,3,104 km NW of Yakutat,",impact-text,origin,trump-origin,",786658,5.6,,,,0,482,iscgem,,,,,mw
1,1971,4,3,114 km WNW of Nikolski,",impact-text,origin,trump-origin,",785351,6.06,,,,0,565,iscgem,,,,,mw
1,1971,5,3,78 km ENE of Atka,",impact-text,origin,trump-origin,",784808,5.63,,,,0,488,iscgem,,,,,mw
1,1971,5,3,60 km E of Atka,",impact-text,origin,trump-origin,",784752,5.66,,,,0,493,iscgem,,,,,mw
1,1971,5,3,178 km SW of Nikolski,",origin,",784273,5.49,,,,0,464,iscgem,,,,,mw
1,1971,5,3,71 km SW of Adak,",impact-text,origin,shakemap,trump-origin,trump-shakemap,",784013,6.99,,,6.584,0,752,iscgem,,,,,mw
1,1971,6,3,230 km SE of Attu Station,",impact-text,origin,trump-origin,",783358,6.76,,,,0,703,iscgem,,,,,mw
1,1971,6,3,146 km SW of Nikolski,",origin,",783330,5.53,,,,0,470,iscgem,,,,,mw
1,1971,6,3,1 km SSW of Tyonek,",impact-text,origin,",3162,5.0,,,,0,385,ushis,,,,,mb
1,1971,7,3,101 km S of Attu Station,",impact-text,origin,trump-origin,",782989,5.61,,,,0,484,iscgem,,,,,mw
1,1971,7,3,82 km S of Attu Station,",impact-text,origin,trump-origin,",782660,6.41,,,,0,632,iscgem,,,,,mw
1,1971,7,3,158 km SW of Nikolski,",impact-text,origin,",3165,5.7,,,,0,500,ushis,,,,,ms
1,1971,7,3,102 km S of Attu Station,",origin,",782142,5.54,,,,0,472,iscgem,,,,,mw
1,1971,8,3,97 km S of King Cove,",origin,",781465,5.46,,,,0,459,iscgem,,,,,mw
1,1971,9,3,81 km SE of Akutan,",origin,",780549,5.5,,,,0,465,iscgem,,,,,mw
1,1971,9,3,14 km NNE of False Pass,",impact-text,origin,trump-origin,",779944,5.92,,,,0,539,iscgem,,,,,mw
1,1971,10,2,Fox Islands,",impact-text,origin,trump-origin,",779432,5.81,,,,0,519,iscgem,,,,,mw
1,1971,10,3,199 km W of Adak,",origin,",779286,5.51,,,,0,467,iscgem,,,,,mw
1,1971,11,3,96 km SE of Attu Station,",impact-text,origin,trump-origin,",778718,6.06,,,,0,565,iscgem,,,,,mw
1,1971,12,3,178 km SE of Adak,",origin,",778073,5.59,,,,0,481,iscgem,,,,,mw
1,1971,12,2,Rat Islands,",origin,",777583,5.5,,,,0,465,iscgem,,,,,mw
1,1972,1,2,Rat Islands,",impact-text,origin,trump-origin,",776661,5.77,,,,0,512,iscgem,,,,,mw
1,1972,2,3,51 km SSE of Chignik,",origin,",776426,5.51,,,,0,467,iscgem,,,,,mw
1,1972,2,3,45 km S of Chignik,",impact-text,origin,",776372,5.79,,,,0,516,iscgem,,,,,mw
1,1972,3,3,74 km ESE of Chignik,",impact-text,origin,trump-origin,",775639,6.36,,,,0,622,iscgem,,,,,mw
1,1972,3,3,219 km S of Adak,",origin,",775534,5.55,,,,0,474,iscgem,,,,,mw
1,1972,3,3,192 km WSW of Adak,",impact-text,origin,trump-origin,",775519,5.89,,,,0,534,iscgem,,,,,mw
1,1972,3,3,276 km ESE of Attu Station,",origin,",775374,5.51,,,,0,467,iscgem,,,,,mw
1,1972,4,3,27 km WNW of Dutch Harbor,",impact-text,origin,trump-origin,",774628,5.94,,,,0,543,iscgem,,,,,mw
1,1972,6,3,265 km S of Atka,",origin,",772686,5.62,,,,0,486,iscgem,,,,,mw
1,1972,6,3,151 km SE of Attu Station,",origin,",772667,5.53,,,,0,470,iscgem,,,,,mw
1,1972,6,3,92 km WNW of Skwentna,",origin,",772648,5.13,,,,0,405,iscgem,,,,,mw
1,1972,6,3,63 km SSW of Unalaska,",impact-text,origin,shakemap,trump-origin,",772465,6.2,,,5.776,0,591,iscgem,,,,,mw
1,1972,6,3,137 km SSE of Alcan Border,",origin,",772373,5.43,,,,0,454,iscgem,,,,,mw
1,1972,6,3,127 km WSW of Adak,",impact-text,origin,trump-origin,",772242,5.54,,,,0,472,iscgem,,,,,mw
1,1972,7,4,Southeastern Alaska,",impact-text,origin,shakemap,trump-shakemap,",772060,7.6,,,6.952,0,889,iscgem,,,,,mw
1,1972,7,3,39 km S of Attu Station,",origin,",771975,5.49,,,,0,464,iscgem,,,,,mw
1,1972,8,3,196 km WSW of Adak,",impact-text,origin,trump-origin,",771047,5.62,,,,0,486,iscgem,,,,,mw
1,1972,8,3,59 km W of Port Alexander,",impact-text,origin,",770594,5.77,,,,0,512,iscgem,,,,,mw
1,1972,8,3,193 km WSW of Adak,",impact-text,origin,trump-origin,",770502,5.88,,,,0,532,iscgem,,,,,mw
1,1972,8,3,56 km WSW of Port Alexander,",impact-text,origin,",770229,5.93,,,,0,541,iscgem,,,,,mw
1,1972,8,3,127 km SW of Adak,",origin,",770184,5.58,,,,0,479,iscgem,,,,,mw
1,1972,8,3,142 km SW of Adak,",impact-text,origin,trump-origin,",770183,5.63,,,,0,488,iscgem,,,,,mw
1,1972,8,3,136 km SW of Adak,",impact-text,origin,shakemap,trump-origin,",770175,6.37,,,4.628,0,624,iscgem,,,,,mw
1,1972,9,3,104 km NW of Yakutat,",origin,",770049,5.2,,,,0,416,iscgem,,,,,mw
1,1972,9,3,132 km SSE of Attu Station,",origin,",769687,5.58,,,,0,479,iscgem,,,,,mw
1,1972,10,3,59 km SE of Denali National Park,",origin,",768580,5.5,,,,0,465,iscgem,,,,,mw
1,1972,10,3,228 km S of False Pass,",impact-text,origin,trump-origin,",768318,5.93,,,,0,541,iscgem,,,,,mw
1,1972,11,3,44 km SSE of Attu Station,",impact-text,origin,trump-origin,",767568,5.69,,,,0,498,iscgem,,,,,mw
1,1972,12,3,35 km SE of Adak,",impact-text,origin,trump-origin,",766720,5.55,,,,0,474,iscgem,,,,,mw
1,1972,12,3,158 km W of Attu Station,",origin,",765821,5.62,,,,0,486,iscgem,,,,,mw
1,1973,1,2,Andreanof Islands,",origin,",p000009v,4.4,,,,0,298,us,,,,,mb
1,1973,1,3,142 km WSW of Nikolski,",origin,",p000009p,4.1,,,,0,259,us,,,,,mb
1,1973,1,3,77 km SSE of False Pass,",origin,",p000008h,4.2,,,,0,271,us,,,,,mb
1,1973,1,3,52 km ESE of Old Harbor,",origin,",p000008c,4.2,,,,0,271,us,,,,,mb
1,1973,1,3,60 km NE of Ouzinkie,",origin,",p0000088,4.6,,,,0,326,us,,,,,mb
1,1973,1,3,18 km NE of Akhiok,",origin,",p000006x,4.9,,,,0,369,us,,,,,mb
1,1973,1,3,50 km E of Port Alsworth,",origin,",p000006t,4.0,,,,0,246,us,,,,,mb
1,1973,1,3,15 km E of Akutan,",origin,",p000005t,5.3,,,,0,432,us,,,,,mb
1,1973,1,2,Rat Islands,",origin,",p0000052,4.3,,,,0,284,us,,,,,mb
1,1973,1,3,241 km ESE of Attu Station,",origin,",p000004p,5.0,,,,0,385,us,,,,,mb
1,1973,1,3,28 km WSW of Adak,",origin,",p000004j,4.7,,,,0,340,us,,,,,mb
1,1973,1,3,27 km WSW of Adak,",origin,",p000004b,5.4,,,,0,449,us,,,,,mb
1,1973,1,3,103 km SSW of Nikolski,",origin,",p000003v,4.3,,,,0,284,us,,,,,mb
1,1973,1,3,121 km SSW of Nikolski,",origin,",p000003s,4.7,,,,0,340,us,,,,,mb
1,1973,1,3,92 km SSW of Nikolski,",origin,",p000003r,4.3,,,,0,284,us,,,,,mb
1,1973,1,3,106 km SSW of Nikolski,",origin,",p000003q,5.4,,,,0,449,us,,,,,mb
1,1973,1,3,38 km ESE of Sand Point,",origin,",p000003k,4.2,,,,0,271,us,,,,,mb
1,1973,1,3,121 km WSW of Adak,",origin,",p0000034,5.1,,,,0,400,us,,,,,mb
1,1973,1,3,28 km SSW of Cordova,",origin,",p000002z,5.1,,,,0,400,us,,,,,mb
1,1973,1,3,181 km SSE of False Pass,",origin,",p000001y,4.9,,,,0,369,us,,,,,mb
1,1973,2,3,54 km SSE of Nikolski,",origin,",p00000rp,4.7,,,,0,340,us,,,,,mb
1,1973,2,3,254 km WNW of Attu Station,",origin,",p00000mc,4.6,,,,0,326,us,,,,,mb
1,1973,2,3,163 km ENE of Kodiak,",impact-text,origin,",p00000m3,5.5,,,,0,465,us,,,,,mb
1,1973,2,3,197 km SE of Akutan,",origin,",p00000jv,4.5,,,,0,312,us,,,,,mb
1,1973,2,3,56 km N of Petersville,",origin,",p00000j9,4.3,,,,0,284,us,,,,,mb
1,1973,2,3,202 km SSE of Sand Point,",origin,",p00000h8,4.9,,,,0,369,us,,,,,mb
1,1973,2,3,192 km WSW of Adak,",origin,",p00000h0,5.4,,,,0,449,us,,,,,mb
1,1973,2,3,224 km SSW of Adak,",origin,",p00000gr,4.6,,,,0,326,us,,,,,mb
1,1973,2,3,101 km ESE of Ugashik,",origin,",p00000fj,4.3,,,,0,284,us,,,,,mb
1,1973,2,3,186 km SE of Cordova,",origin,",p00000en,4.5,,,,0,312,us,,,,,mb
1,1973,2,3,71 km SSW of Shungnak,",origin,",p00000df,4.3,,,,0,284,us,,,,,mb
1,1973,2,3,174 km WSW of Adak,",origin,",p00000cv,4.7,,,,0,340,us,,,,,mb
1,1973,2,3,240 km ESE of Attu Station,",origin,",p00000c3,5.3,,,,0,432,us,,,,,mb
1,1973,3,3,36 km SW of Attu Station,",impact-text,origin,",p000013x,5.6,,,,0,482,us,,,,,mb
1,1973,3,3,42 km E of Attu Station,",origin,",p000013j,5.0,,,,0,385,us,,,,,mb
1,1973,3,4,northern Alaska,",origin,",p0000134,4.3,,,,0,284,us,,,,,mb
1,1973,3,2,Andreanof Islands,",origin,",p000012w,4.1,,,,0,259,us,,,,,mb
1,1973,3,3,102 km NE of Ouzinkie,",origin,",p000012j,4.4,,,,0,298,us,,,,,mb
1,1973,3,3,175 km SSE of Attu Station,",origin,",p000012d,4.6,,,,0,326,us,,,,,mb
1,1973,3,2,Near Islands,",origin,",p0000129,4.9,,,,0,369,us,,,,,mb
1,1973,3,3,57 km SE of Denali National Park,",origin,",p000011z,4.2,,,,0,271,us,,,,,mb
1,1973,3,3,194 km SSE of Attu Station,",origin,",p000011h,4.4,,,,0,298,us,,,,,mb
1,1973,3,3,185 km SSE of Attu Station,",impact-text,origin,",p000011e,5.9,,,,0,536,us,,,,,ms
1,1973,3,3,234 km WNW of Attu Station,",origin,",p0000118,4.6,,,,0,326,us,,,,,mb
1,1973,3,3,226 km WNW of Attu Station,",origin,",p0000117,4.7,,,,0,340,us,,,,,mb
1,1973,3,3,209 km WSW of Adak,",origin,",p0000115,4.2,,,,0,271,us,,,,,mb
1,1973,3,3,196 km WSW of Adak,",origin,",p0000113,4.9,,,,0,369,us,,,,,mb
1,1973,3,3,107 km S of Unalaska,",origin,",p0000105,4.7,,,,0,340,us,,,,,mb
1,1973,3,3,39 km E of Attu Station,",impact-text,origin,",p00000zy,5.8,,,,0,518,us,,,,,mb
1,1973,3,3,126 km S of Cordova,",origin,",p00000zx,4.5,,,,0,312,us,,,,,mb
1,1973,3,3,31 km NE of Skwentna,",origin,",p00000yw,4.3,,,,0,284,us,,,,,mb
1,1973,3,3,65 km SE of Nikolski,",origin,",p00000x8,4.8,,,,0,354,us,,,,,mb
1,1973,3,3,183 km W of Adak,",origin,",p00000vb,4.6,,,,0,326,us,,,,,mb
1,1973,3,3,23 km E of McKinley Park,",origin,",p00000u0,4.0,,,,0,246,us,,,,,mb
1,1973,3,3,183 km WSW of Adak,",origin,",p00000sr,4.3,,,,0,284,us,,,,,mb
1,1973,4,3,248 km WSW of Adak,",origin,",p00001h0,4.1,,,,0,259,us,,,,,mb
1,1973,4,3,248 km WSW of Adak,",origin,",p00001gx,4.0,,,,0,246,us,,,,,mb
1,1973,4,3,237 km WSW of Adak,",origin,",p00001gw,4.8,,,,0,354,us,,,,,mb
1,1973,4,3,59 km S of Sand Point,",origin,",p00001ge,4.2,,,,0,271,us,,,,,mb
1,1973,4,3,39 km E of Denali National Park,",origin,",p00001gc,4.4,,,,0,298,us,,,,,mb
1,1973,4,3,173 km WSW of Adak,",impact-text,origin,",p00001e4,5.5,,,,0,465,us,,,,,mb
1,1973,4,3,32 km WSW of Attu Station,",origin,",p00001dt,4.1,,,,0,259,us,,,,,mb
1,1973,4,2,Rat Islands,",origin,",p00001bw,4.7,,,,0,340,us,,,,,mb
1,1973,4,3,61 km ENE of Shaktoolik,",origin,",p00001br,4.2,,,,0,271,us,,,,,mb
1,1973,4,3,48 km NW of Adak,",origin,",p00001bc,4.0,,,,0,246,us,,,,,mb
1,1973,4,2,Rat Islands,",origin,",p00001b1,4.1,,,,0,259,us,,,,,mb
1,1973,4,3,89 km SE of Atka,",origin,",p000019k,4.7,,,,0,340,us,,,,,mb
1,1973,4,3,68 km SE of Atka,",origin,",p000019h,4.5,,,,0,312,us,,,,,mb
1,1973,4,3,182 km SSE of Attu Station,",origin,",p000019a,4.2,,,,0,271,us,,,,,mb
1,1973,4,3,134 km WSW of Adak,",origin,",p000018y,5.0,,,,0,385,us,,,,,mb
1,1973,4,3,53 km N of Petersville,",origin,",p000017w,4.2,,,,0,271,us,,,,,mb
1,1973,4,3,53 km W of Adak,",origin,",p000016u,5.2,,,,0,416,us,,,,,mb
1,1973,4,3,198 km SSE of False Pass,",origin,",p000016n,4.2,,,,0,271,us,,,,,mb
1,1973,5,3,96 km SSW of False Pass,",impact-text,origin,",p00001yv,6.0,,,,0,554,us,,,,,mb
1,1973,5,3,245 km ESE of Attu Station,",impact-text,origin,",p00001yr,5.7,,,,0,500,us,,,,,ms
1,1973,5,3,239 km WSW of Adak,",origin,",p00001yq,4.1,,,,0,259,us,,,,,mb
1,1973,5,3,20 km ESE of Port Alsworth,",origin,",p00001xz,4.4,,,,0,298,us,,,,,mb
1,1973,5,3,221 km WSW of Adak,",origin,",p00001xx,4.9,,,,0,369,us,,,,,mb
1,1973,5,3,222 km WSW of Adak,",impact-text,origin,",p00001xw,5.8,,,,0,518,us,,,,,mb
1,1973,5,3,85 km ESE of Adak,",origin,",p00001xt,4.6,,,,0,326,us,,,,,mb
1,1973,5,3,217 km SSE of King Cove,",origin,",p00001xh,4.9,,,,0,369,us,,,,,mb
1,1973,5,3,85 km SE of Atka,",origin,",p00001xd,4.5,,,,0,312,us,,,,,mb
1,1973,5,3,61 km SE of Denali National Park,",origin,",p00001xc,4.0,,,,0,246,us,,,,,mb
1,1973,5,3,87 km SE of Atka,",origin,",p00001xb,4.5,,,,0,312,us,,,,,mb
1,1973,5,3,69 km SE of Atka,",origin,",p00001x7,4.1,,,,0,259,us,,,,,mb
1,1973,5,3,64 km ESE of Atka,",origin,",p00001x5,4.4,,,,0,298,us,,,,,mb
1,1973,5,3,82 km SE of Atka,",impact-text,origin,",p00001x1,5.4,,,,0,449,us,,,,,mb
1,1973,5,3,70 km WNW of Nikiski,",origin,",p00001vq,4.9,,,,0,369,us,,,,,mb
1,1973,5,3,19 km S of Adak,",origin,",p00001vm,4.6,,,,0,326,us,,,,,mb
1,1973,5,3,64 km N of Petersville,",origin,",p00001v7,4.7,,,,0,340,us,,,,,mb
1,1973,5,3,147 km S of False Pass,",origin,",p00001sy,4.5,,,,0,312,us,,,,,mb
1,1973,5,3,144 km S of False Pass,",origin,",p00001sw,4.3,,,,0,284,us,,,,,mb
1,1973,5,3,207 km WSW of Adak,",origin,",p00001s8,5.3,,,,0,432,us,,,,,mb
1,1973,5,3,7 km E of Old Harbor,",origin,",p00001qs,4.4,,,,0,298,us,,,,,mb
1,1973,5,3,245 km SSW of Adak,",origin,",p00001p0,4.2,,,,0,271,us,,,,,mb
1,1973,6,3,92 km SE of Attu Station,",origin,",p00002dk,4.9,,,,0,369,us,,,,,mb
1,1973,6,3,140 km SSE of Cordova,",origin,",p00002dh,4.4,,,,0,298,us,,,,,mb
1,1973,6,3,86 km NNW of Atka,",origin,",p00002cw,5.2,,,,0,416,us,,,,,mb
1,1973,6,3,18 km W of Adak,",impact-text,origin,",p00002be,5.5,,,,0,465,us,,,,,mb
1,1973,6,3,219 km SSE of Unalaska,",origin,",p000028p,5.4,,,,0,449,us,,,,,mb
1,1973,6,3,29 km NNW of Pleasant Valley,",origin,",p000028b,4.0,,,,0,246,us,,,,,mb
1,1973,6,3,249 km ESE of Attu Station,",origin,",p000027z,5.0,,,,0,385,us,,,,,mb
1,1973,6,3,190 km WSW of Adak,",origin,",p000026n,4.4,,,,0,298,us,,,,,mb
1,1973,6,3,204 km WSW of Adak,",origin,",p0000265,5.4,,,,0,449,us,,,,,mb
1,1973,6,3,201 km WSW of Adak,",impact-text,origin,",p0000263,5.8,,,,0,518,us,,,,,mb
1,1973,6,3,123 km SW of Nikolski,",origin,",p000021s,4.4,,,,0,298,us,,,,,mb
1,1973,6,3,99 km SSW of False Pass,",origin,",p0000214,4.8,,,,0,354,us,,,,,mb
1,1973,6,3,171 km SE of Attu Station,",origin,",p000020x,4.5,,,,0,312,us,,,,,mb
1,1973,6,3,242 km ESE of Attu Station,",origin,",p000020n,4.3,,,,0,284,us,,,,,mb
1,1973,6,3,24 km S of Old Harbor,",origin,",p00001zy,4.0,,,,0,246,us,,,,,mb
1,1973,7,3,93 km WSW of Elfin Cove,",origin,",p00002wn,4.7,,,,0,340,us,,,,,mb
1,1973,7,3,79 km WSW of Elfin Cove,",origin,",p00002vv,4.0,,,,0,246,us,,,,,mb
1,1973,7,3,39 km WNW of Atka,",origin,",p00002tz,4.7,,,,0,340,us,,,,,mb
1,1973,7,3,240 km SE of Atka,",origin,",p00002ty,4.7,,,,0,340,us,,,,,mb
1,1973,7,3,9 km SW of Healy,",origin,",p00002t9,4.1,,,,0,259,us,,,,,mb
1,1973,7,3,20 km W of Clam Gulch,",origin,",p00002s1,4.7,,,,0,340,us,,,,,mb
1,1973,7,3,74 km WSW of Attu Station,",origin,",p00002ry,4.6,,,,0,326,us,,,,,mb
1,1973,7,3,29 km W of Nanwalek,",origin,",p00002qj,4.1,,,,0,259,us,,,,,mb
1,1973,7,3,100 km WSW of Elfin Cove,",origin,",p00002q8,5.0,,,,0,385,us,,,,,mb
1,1973,7,3,98 km SE of Attu Station,",origin,",p00002p9,5.2,,,,0,416,us,,,,,mb
1,1973,7,3,38 km ENE of Adak,",origin,",p00002p7,5.1,,,,0,400,us,,,,,mb
1,1973,7,3,105 km WSW of Elfin Cove,",origin,",p00002p6,4.6,,,,0,326,us,,,,,mb
1,1973,7,3,64 km SE of Nikolski,",origin,",p00002kh,4.8,,,,0,354,us,,,,,mb
1,1973,7,3,97 km WSW of Elfin Cove,",origin,",p00002je,5.4,,,,0,449,us,,,,,mb
1,1973,7,3,59 km WSW of Elfin Cove,",origin,",p00002jd,4.1,,,,0,259,us,,,,,mb
1,1973,7,4,Southeastern Alaska,",origin,",p00002hx,4.6,,,,0,326,us,,,,,mb
1,1973,7,3,194 km E of Atka,",origin,",p00002hu,4.7,,,,0,340,us,,,,,mb
1,1973,7,3,58 km WSW of Elfin Cove,",origin,",p00002ht,4.5,,,,0,312,us,,,,,mb
1,1973,7,3,93 km WSW of Elfin Cove,",origin,",p00002hf,5.1,,,,0,400,us,,,,,mb
1,1973,7,3,101 km WSW of Elfin Cove,",impact-text,origin,",p00002he,6.0,,,,0,554,us,,,,,ms
1,1973,7,3,83 km W of Elfin Cove,",origin,",p00002hd,4.6,,,,0,326,us,,,,,mb
1,1973,7,3,85 km WSW of Attu Station,",origin,",p00002h7,4.7,,,,0,340,us,,,,,mb
1,1973,7,3,84 km WSW of Elfin Cove,",origin,",p00002gw,4.5,,,,0,312,us,,,,,mb
1,1973,7,3,81 km WSW of Pelican,",origin,",p00002gc,4.2,,,,0,271,us,,,,,mb
1,1973,7,3,65 km WSW of Pelican,",origin,",p00002gb,5.2,,,,0,416,us,,,,,mb
1,1973,7,3,66 km WSW of Pelican,",impact-text,origin,shakemap,",p00002g9,6.7,,,5.663,0,691,us,,,,,ms
1,1973,8,3,62 km SSE of Atka,",origin,",p0000389,4.5,,,,0,312,us,,,,,mb
1,1973,8,3,202 km WSW of Adak,",origin,",p0000386,4.5,,,,0,312,us,,,,,mb
1,1973,8,3,187 km WSW of Adak,",origin,",p0000383,4.5,,,,0,312,us,,,,,mb
1,1973,8,3,62 km SE of Atka,",origin,",p0000382,5.1,,,,0,400,us,,,,,mb
1,1973,8,3,65 km SSE of Atka,",origin,",p0000381,4.8,,,,0,354,us,,,,,mb
1,1973,8,3,193 km WSW of Adak,",origin,",p000037y,4.6,,,,0,326,us,,,,,mb
1,1973,8,3,79 km SE of Adak,",origin,",p000037x,4.7,,,,0,340,us,,,,,mb
1,1973,8,3,191 km WSW of Adak,",origin,",p000037w,4.5,,,,0,312,us,,,,,mb
1,1973,8,3,129 km WSW of Adak,",origin,",p000037u,5.2,,,,0,416,us,,,,,mb
1,1973,8,3,195 km WSW of Adak,",origin,",p000037t,5.3,,,,0,432,us,,,,,ms
1,1973,8,3,69 km SE of Atka,",origin,",p0000369,4.7,,,,0,340,us,,,,,mb
1,1973,8,3,14 km NNE of Akhiok,",impact-text,origin,",p000035r,5.9,,,,0,536,us,,,,,mb
1,1973,8,3,197 km SE of Attu Station,",origin,",p000035c,4.2,,,,0,271,us,,,,,mb
1,1973,8,3,12 km NNE of Dutch Harbor,",origin,",p0000350,4.9,,,,0,369,us,,,,,mb
1,1973,8,3,73 km ESE of Denali National Park,",origin,",p000034f,4.1,,,,0,259,us,,,,,mb
1,1973,8,3,47 km E of Chenega,",origin,",p000034b,4.7,,,,0,340,us,,,,,mb
1,1973,8,3,88 km SW of Attu Station,",origin,",p000033v,4.4,,,,0,298,us,,,,,mb
1,1973,8,3,54 km S of Adak,",origin,",p000033s,4.9,,,,0,369,us,,,,,mb
1,1973,8,3,61 km S of Adak,",origin,",p000033m,4.6,,,,0,326,us,,,,,mb
1,1973,8,3,61 km SSE of Adak,",origin,",p000033k,4.1,,,,0,259,us,,,,,mb
1,1973,8,3,37 km SSE of Adak,",origin,",p000033h,4.0,,,,0,246,us,,,,,mb
1,1973,8,3,47 km S of Adak,",impact-text,origin,",p000033g,5.6,,,,0,482,us,,,,,mb
1,1973,8,3,63 km S of Adak,",origin,",p000033f,5.2,,,,0,416,us,,,,,mb
